hè,ㄏㄜˋ
qiāng,ㄑㄧㄤ
chài,ㄔㄞˋ
qián,ㄑㄧㄢˊ
yīnyīn,ㄧㄣㄧㄣ
tán,ㄊㄢˊ
huo,˙ㄏㄨㄛ
jǔyǔ,ㄐㄩˇㄩˇ
yìnléishòuruò,ㄧㄣˋㄌㄟˊㄕㄡˋㄖㄨㄛˋ
wú,ㄨˊ
chànghuǎng,ㄔㄤˋㄏㄨㄤˇ
yàng,ㄧㄤˋ
jiǎozhí,ㄐㄧㄠˇㄓˊ
pēi,ㄆㄟ
hōng,ㄏㄨㄥ
àn,ㄢˋ
jiéyíng,ㄐㄧㄝˊㄧㄥˊ
shé,ㄕㄜˊ
nì,ㄋㄧˋ
chāo,ㄔㄠ
lúbó,ㄌㄨˊㄅㄛˊ
yòu,ㄧㄡˋ
zào,ㄗㄠˋ
nǐ,ㄋㄧˇ
zhōng,ㄓㄨㄥ
pèng,ㄆㄥˋ
gèn,ㄍㄣˋ
mǐ,ㄇㄧˇ
bāng,ㄅㄤ
cuǐ,ㄘㄨㄟˇ
tā,ㄊㄚ
gōng,ㄍㄨㄥ
shèn,ㄕㄣˋ
cū,ㄘㄨ
qiāo,ㄑㄧㄠ
yāchà,ㄧㄚㄔㄚˋ
zhuàn,ㄓㄨㄢˋ
chǎnghuǎng,ㄔㄤˇㄏㄨㄤˇ
zá,ㄗㄚˊ
huǒ,ㄏㄨㄛˇ
xiè,ㄒㄧㄝˋ
yàn,ㄧㄢˋ
chún,ㄔㄨㄣˊ
gǔ,ㄍㄨˇ
jū,ㄐㄩ
huǐ,ㄏㄨㄟˇ
xiǎn,ㄒㄧㄢˇ
diàn,ㄉㄧㄢˋ
dāng,ㄉㄤ
huò,ㄏㄨㄛˋ
qí,ㄑㄧˊ
huòyì,ㄏㄨㄛˋㄧˋ
chèng,ㄔㄥˋ
yù,ㄩˋ
qiè,ㄑㄧㄝˋ
chánchēng,ㄔㄢˊㄔㄥ
hàn,ㄏㄢˋ
ài,ㄞˋ
ké,ㄎㄜˊ
jìng,ㄐㄧㄥˋ
líyīng,ㄌㄧˊㄧㄥ
mǎ,ㄇㄚˇ
lòng,ㄌㄨㄥˋ
pò,ㄆㄛˋ
bēi,ㄅㄟ
diāo,ㄉㄧㄠ
kǎo,ㄎㄠˇ
tǎn,ㄊㄢˇ
mà,ㄇㄚˋ
zhào,ㄓㄠˋ
fēng,ㄈㄥ
wán,ㄨㄢˊ
dá,ㄉㄚˊ
guǎnkuīlícè,ㄍㄨㄢˇㄎㄨㄟㄌㄧˊㄘㄜˋ
duān,ㄉㄨㄢ
zú,ㄗㄨˊ
fà,ㄈㄚˋ
jiāo,ㄐㄧㄠ
yán,ㄧㄢˊ
chuǎn,ㄔㄨㄢˇ
chīyóu,ㄔㄧㄡˊ
guā,ㄍㄨㄚ
jiān,ㄐㄧㄢ
cán,ㄘㄢˊ
céng,ㄘㄥˊ
ào,ㄠˋ
guà,ㄍㄨㄚˋ
tīng,ㄊㄧㄥ
gù,ㄍㄨˋ
chuán,ㄔㄨㄢˊ
gāi,ㄍㄞ
gè,ㄍㄜˋ
sū,ㄙㄨ
dōng,ㄉㄨㄥ
miè,ㄇㄧㄝˋ
wù,ㄨˋ
chú,ㄔㄨˊ
sūn,ㄙㄨㄣ
bìng,ㄅㄧㄥˋ
tàn,ㄊㄢˋ
dū,ㄉㄨ
gòng,ㄍㄨㄥˋ
zhì,ㄓˋ
kǎngzǎng,ㄎㄤˇㄗㄤˇ
lún,ㄌㄨㄣˊ
chuāng,ㄔㄨㄤ
wūtú,ㄨㄊㄨˊ
hǎishēnwēi,ㄏㄞˇㄕㄣㄨㄟ
jí,ㄐㄧˊ
liú,ㄌㄧㄡˊ
dūyúxūfú,ㄉㄨㄩˊㄒㄩㄈㄨˊ
zhài,ㄓㄞˋ
yùn,ㄩㄣˋ
xiào,ㄒㄧㄠˋ
cǎiqiāo,ㄘㄞˇㄑㄧㄠ
yáng,ㄧㄤˊ
chǒu,ㄔㄡˇ
qíjué,ㄑㄧˊㄐㄩㄝˊ
yǐng,ㄧㄥˇ
nǎi,ㄋㄞˇ
láo,ㄌㄠˊ
fán,ㄈㄢˊ
bào,ㄅㄠˋ
měng,ㄇㄥˇ
qìng,ㄑㄧㄥˋ
niǎo,ㄋㄧㄠˇ
tí,ㄊㄧˊ
zhèng,ㄓㄥˋ
cóng,ㄘㄨㄥˊ
jīdào,ㄐㄧㄉㄠˋ
chě,ㄔㄜˇ
zēng,ㄗㄥ
yá,ㄧㄚˊ
huì,ㄏㄨㄟˋ
yǔ,ㄩˇ
liáng,ㄌㄧㄤˊ
tì,ㄊㄧˋ
ná,ㄋㄚˊ
xiān,ㄒㄧㄢ
luóbo,ㄌㄨㄛˊ˙ㄅㄛ
cēn,ㄘㄣ
lán,ㄌㄢˊ
péng,ㄆㄥˊ
yě,ㄧㄝˇ
chéng,ㄔㄥˊ
sōng,ㄙㄨㄥ
fā,ㄈㄚ
qín,ㄑㄧㄣˊ
zàng,ㄗㄤˋ
bì,ㄅㄧˋ
bèi,ㄅㄟˋ
júzhú,ㄐㄩˊㄓㄨˊ
huàn,ㄏㄨㄢˋ
táng,ㄊㄤˊ
lūsū,ㄌㄨㄙㄨ
wèi,ㄨㄟˋ
wèngyǒu,ㄨㄥˋㄧㄡˇ
liào,ㄌㄧㄠˋ
qiáng,ㄑㄧㄤˊ
cái,ㄘㄞˊ
zhē,ㄓㄜ
hóng,ㄏㄨㄥˊ
tuó,ㄊㄨㄛˊ
hào,ㄏㄠˋ
tà,ㄊㄚˋ
qiáo,ㄑㄧㄠˊ
āng,ㄤ
mí,ㄇㄧˊ
dù,ㄉㄨˋ
jǐ,ㄐㄧˇ
biǎo,ㄅㄧㄠˇ
fǔ,ㄈㄨˇ
qú,ㄑㄩˊ
dí,ㄉㄧˊ
màzhà,ㄇㄚˋㄓㄚˋ
bēn,ㄅㄣ
dé,ㄉㄜˊ
lúfú,ㄌㄨˊㄈㄨˊ
hòng,ㄏㄨㄥˋ
kǎng,ㄎㄤˇ
chuí,ㄔㄨㄟˊ
qiū,ㄑㄧㄡ
nào,ㄋㄠˋ
shēn,ㄕㄣ
qū,ㄑㄩ
dān,ㄉㄢ
chányán,ㄔㄢˊㄧㄢˊ
wàng,ㄨㄤˋ
cuì,ㄘㄨㄟˋ
